ido,auto_muszaki_allapota,KSS,vezetesi_tapasztalat,RQI,forgalom_surusege,latasi_viszonyok,homerseklet,csapadek,fagy,baleseti_veszely_merteke
632,4,4,2,10,26,84,11,0,0,2
628,7,5,5,10,3,64,-16,3,1,2
795,6,7,75,7,2,65,4,0,0,1
121,9,5,65,9,34,38,4,4,0,2
630,3,8,34,9,29,98,-12,3,1,3
325,8,8,19,8,10,76,-14,0,1,1
1097,9,4,1,10,32,5,-16,4,1,4
1194,4,6,7,2,11,72,0,0,1,2
152,7,3,54,4,5,53,27,0,0,1
779,9,5,0,7,7,72,28,13,0,2
102,7,3,5,4,6,36,-12,0,1,2
1296,3,1,3,3,19,4,20,4,0,3
316,8,5,1,10,25,22,2,0,0,1
1439,3,1,6,6,22,38,18,2,0,2
186,3,4,12,6,17,71,22,0,0,2
1352,6,4,68,5,14,90,28,0,0,1
603,1,5,2,6,37,81,36,0,0,3
1052,6,8,0,0,64,51,15,3,0,3
1335,9,1,16,6,5,39,16,3,0,1
38,7,2,78,1,9,94,9,17,0,2
1372,6,2,3,6,43,74,-14,0,1,3
1269,5,3,2,8,42,65,37,0,0,2
53,1,5,23,3,26,77,-7,0,1,3
115,3,2,1,4,44,72,16,0,0,2
1303,4,3,2,3,29,97,3,0,0,2
7,4,3,48,3,32,59,16,2,0,2
809,7,7,4,0,27,95,22,0,0,2
598,2,8,6,5,6,54,-10,0,1,4
1046,5,7,0,1,75,90,1,0,0,2
149,5,3,4,5,12,88,33,0,0,1
168,4,5,24,9,44,79,-9,0,1,2
673,6,8,5,8,15,98,-6,0,1,3
510,5,4,0,5,92,42,-7,0,1,3
1061,9,7,4,6,45,95,15,0,0,3
1416,4,1,0,6,24,66,22,1,0,1
1162,5,8,5,6,16,88,31,0,0,1
47,3,5,37,10,23,50,3,3,0,2
977,4,5,40,10,49,81,22,0,0,1
215,8,3,22,4,41,87,-3,0,1,3
1024,7,4,46,4,95,41,23,0,0,1
1376,6,2,3,8,23,98,36,8,0,2
67,2,8,0,2,13,34,-11,1,1,5
928,2,4,24,7,40,45,-8,0,1,3
86,3,4,33,4,43,65,32,0,0,2
1046,8,6,3,8,115,44,-11,0,1,1
1175,6,5,41,4,18,32,5,0,0,1
718,8,4,5,9,31,65,-5,0,1,1
834,3,4,59,1,22,19,-8,0,1,4
1385,8,2,55,1,41,73,-2,0,1,2
1344,10,1,3,7,19,40,14,0,0,1
51,9,3,78,6,3,2,-14,0,1,3
452,8,4,11,10,39,66,-9,0,1,2
311,7,7,1,1,10,11,21,3,0,2
399,5,4,56,10,77,77,-7,0,1,2
1397,8,2,13,7,5,9,28,0,0,1
1230,10,7,2,3,3,61,2,6,0,2
1248,10,4,20,7,16,25,13,0,0,1
800,2,4,64,8,8,7,26,4,0,2
77,10,3,73,7,17,38,1,1,0,1
55,10,2,2,7,34,28,31,0,0,1
322,3,5,2,6,20,70,-13,0,1,3
1228,7,4,77,8,43,67,35,0,0,1
1221,1,7,61,4,36,49,2,0,0,3
360,9,6,0,6,30,64,-17,17,1,4
1435,6,3,34,9,44,93,21,0,0,1
